100003,10003,110032030|110033030|110034030|110035030|,110031001|0|0|0|0|,秀逗魔导士
100004,10004,110042030|110043030|110045030|0|,110041001|0|0|0|0|,影魔
100011,10011,110112030|110113030|110115030|0|,110111001|0|0|0|0|,水晶室女
100013,10013,110132030|110133030|110134030|110135030|,110131001|0|0|0|0|,复仇之魂
110001,10001,110012001|110013001|110014001|110015001|,110011001|0|0|0|0|,食人魔法师
110002,10002,110022001|110023001|110024001|110025001|,110021001|0|0|0|0|,月之女祭司
110003,10003,110032001|110033001|110034001|110035001|,110031001|0|0|0|0|,秀逗魔导士
110004,10004,110042001|110043001|110044001|110045001|,110041001|0|0|0|0|,影魔
110005,10005,110052001|110053001|110054001|110055001|,110051001|0|0|0|0|,先知
110006,10006,110062001|110063001|110064001|110065001|,110061001|0|0|0|0|,宙斯
110007,10007,110072001|110073001|110074001|110075001|,110071001|210007002|210007003|0|0|,撼地神牛
110008,10008,110082001|110083001|110084001|110085001|,110081001|0|0|0|0|,月之骑士
110009,10009,110092001|110093001|110094001|110095001|,110091001|0|0|0|0|,山岭巨人
110010,10010,110102001|110103001|110104001|110105001|,210010001|210010002|210010003|0|0|,末日使者
110011,10011,110112001|110113001|110114001|110115001|,110111001|0|0|0|0|,水晶室女
110012,10012,110122001|110123001|110124001|110125001|,110121001|0|0|0|0|,育母蜘蛛
110013,10013,110132001|110133001|110134001|110135001|,110131001|0|0|0|0|,复仇之魂
110014,10014,110142001|110143001|110144001|110145001|,210014001|210014002|210014003|0|0|,幻影刺客
110015,10015,110152001|110153001|110154001|110155001|,110151001|0|0|0|0|,风行者
110016,10016,110162001|110163001|110164001|110165001|,110161001|0|0|0|0|,圣堂刺客
110017,10017,110172001|110173001|110174001|110175001|,110171001|0|0|0|0|,隐形刺客
110018,10018,110182001|110183001|110184001|110185001|,110181001|0|0|0|0|,赏金猎人
110019,10019,110192001|110193001|110194001|110195001|,110191001|0|0|0|0|,炼金术士
110020,10020,110202001|110203001|110204001|110205001|,110201001|0|0|0|0|,地穴刺客
110021,10021,110212001|110213001|110214001|110215001|,110211001|0|0|0|0|,恐怖利刃
110022,10022,110222001|110223001|110224001|110225001|,210022001|210022002|210022003|0|0|,剑圣
110023,10023,110232001|110233001|110234001|110235001|,110231001|0|0|0|0|,半人马酋长
110024,10024,110242001|110243001|110244001|110245001|,110241001|0|0|0|0|,暗影萨满
110025,10025,110252001|110253001|110254001|110255001|,110251001|0|0|0|0|,痛苦女王
110026,10026,110262001|110263001|110264001|110265001|,210026101|210026102|210026103|0|0|,潮汐猎人
110027,10027,110272001|110273001|110274001|110275001|,110271001|0|0|0|0|,黑暗游侠
110028,10028,110282001|110283001|110284001|110285001|,110281001|0|0|0|0|,全能骑士
110029,10029,110292001|110293001|110294001|110295001|,210029101|210029102|210029103|0|0|,地狱领主
110030,10030,110302001|110303001|110304001|110305001|,210030101|210030102|210030103|0|0|,暗夜魔王
110031,10031,110312001|110313001|110314001|110315001|,110311001|0|0|0|0|,风暴之灵
110032,10032,110322001|110323001|110324001|110325001|,110321001|0|0|0|0|,卡尔
110033,10033,110332001|110333001|110334001|110335001|,110331001|0|0|0|0|,魅惑魔女
120001,10001,110012001|110013001|110014001|110015001|,110011001|0|0|0|0|,食人魔法师
120002,10002,110022001|110023001|110024001|110025001|,110021001|0|0|0|0|,月之女祭司
