201201,201201,201201,食人魔1技能1
201202,201202,201202,食人魔2技能1
201203,201203,201203,骷髅兵技能1
201204,201204,201204,熊怪1技能1
201205,201205,201205,熊怪2技能1
201206,201206,201206,绿狼技能1
201207,201207,201207,白狼技能1
201208,201208,201208,土拨鼠1技能1
201209,201209,201209,土拨鼠2技能1
201210,201210,201210,绿肉山普攻
201211,201211,201210,火肉山普攻
201212,201212,201212,黑龙（火）普攻
201213,201213,201212,黑龙（冰）普攻
201214,201214,201212,黑龙（沙）普攻
201215,201215,201217,树人（绿）普攻
201216,201216,201217,树人（紫）普攻
201217,201217,201217,树人（黄）普攻
201218,201218,201219,枭兽（蓝）普攻
201219,201219,201219,枭兽（黄）普攻
201220,201220,201219,枭兽（红）普攻
201221,201221,201223,蝙蝠（火）普攻
201222,201222,201223,蝙蝠（冰）普攻
201223,201223,201223,蝙蝠（沙）普攻
201224,201224,201224,蓝龙（冰）普攻
201225,201225,201224,蓝龙（地）普攻
201226,201226,201224,蓝龙（火）普攻
202201,202201,202201,食人魔1技能2
202202,202202,202202,食人魔2技能2
202203,202203,202203,骷髅兵技能2
202204,202204,202204,熊怪1技能2
202205,202205,202205,熊怪2技能2
202206,202206,202206,绿狼技能2
202207,202207,202207,白狼技能2
202208,202208,202208,土拨鼠1技能2
202209,202209,202209,土拨鼠2技能2
202210,202210,202210,绿肉山技能1
202211,202211,202210,火肉山技能1
202212,202212,202212,黑龙（火）技能1
202213,202213,202212,黑龙（冰）技能1
202214,202214,202212,黑龙（沙）技能1
202215,202215,202217,树人（绿）技能
202216,202216,202217,树人（紫）技能
202217,202217,202217,树人（黄）技能
202218,202218,202219,枭兽（蓝）技能
202219,202219,202219,枭兽（黄）技能
202220,202220,202219,枭兽（红）技能
202221,202221,202223,蝙蝠（火）技能
202222,202222,202223,蝙蝠（冰）技能
202223,202223,202223,蝙蝠（沙）技能
202224,202224,202224,蓝龙（冰）技能
202225,202225,202224,蓝龙（地）技能
202226,202226,202224,蓝龙（火）技能
203210,203210,203210,绿肉山技能2
